Elapsed Time (secs) , euler x , euler y , euler z , quat x , quat y , quat z , quat w
0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


0,0,0,0,0,0,0,1


